game_id,tag
67,Martial Arts
67,PvP
67,Action
67,Female Protagonist
67,Survival
67,Third Person
67,Character Customization
67,Hack and Slash
67,Massively Multiplayer
67,Fighting
67,Swordplay
67,Parkour
67,Adventure
67,Anime
67,Mature
67,Violent
67,Gore
67,Free to Play
68,Open World
68,RPG
68,Post apocalyptic
68,Singleplayer
68,Moddable
68,Story Rich
68,Exploration
68,First Person
68,Action
68,Adventure
68,FPS
68,Sci fi
68,Western
68,Atmospheric
68,Action RPG
68,Character Customization
68,Survival
68,Sandbox
68,Shooter
68,Third Person
69,Tactical RPG
69,RPG
69,Turn Based Strategy
69,Story Rich
69,Fantasy
69,Exploration
69,CRPG
69,Party Based RPG
69,Character Customization
69,Strategy RPG
69,PvP
69,Female Protagonist
69,Co op Campaign
69,Local Co Op
69,Isometric
69,Choices Matter
69,Romance
69,Strategy
69,Moddable
69,Funny
70,Co op
70,Funny
70,Puzzle
70,Adventure
70,Physics
70,Sandbox
70,Action
70,Puzzle Platformer
70,Open World
70,Multiplayer
70,Local Co Op
70,Indie
70,Comedy
70,Parkour
70,Local Multiplayer
70,Casual
70,Split Screen
70,3D Platformer
70,Singleplayer
70,Simulation
71,FPS
71,World War II
71,Multiplayer
71,Shooter
71,Singleplayer
71,War
71,Military
71,First Person
71,PvP
71,Combat
71,Massively Multiplayer
71,Open World
71,Action
71,Historical
71,Destruction
71,Battle Royale
71,Atmospheric
71,Violent
71,Sexual Content
71,Female Protagonist
72,Colony Sim
72,Base Building
72,Survival
72,Strategy
72,Sandbox
72,Management
72,Building
72,Simulation
72,Singleplayer
72,City Builder
72,Moddable
72,Open World
72,Procedural Generation
72,2D
72,Sci fi
72,Indie
72,Space
72,Tactical RPG
72,Western
72,Cartoony
73,Action
73,FPS
73,Multiplayer
73,Shooter
73,Classic
73,Team Based
73,First Person
73,Competitive
73,Tactical
73,1990s
73,eSports
73,PvP
73,Old School
73,Military
73,Strategy
73,Survival
73,Score Attack
73,1980s
73,Assassin
73,Nostalgia
74,Adventure
74,Action
74,Female Protagonist
74,Third Person
74,Singleplayer
74,Story Rich
74,Third Person Shooter
74,Multiplayer
74,Exploration
74,Action Adventure
74,Quick Time Events
74,Atmospheric
74,Shooter
74,Puzzle
74,Stealth
74,Cinematic
74,Platformer
74,RPG
74,Reboot
74,3D Vision
75,Open World
75,RPG
75,Adventure
75,Singleplayer
75,Fantasy
75,Character Customization
75,Dragons
75,Moddable
75,Story Rich
75,Magic
75,First Person
75,Action
75,Atmospheric
75,Great Soundtrack
75,Third Person
75,Stealth
75,Classic
75,Remake
75,Female Protagonist
75,Walking Simulator
76,Open World
76,Tactical
76,Atmospheric
76,Multiplayer
76,FPS
76,Perma Death
76,Shooter
76,PvP
76,Survival Horror
76,Horror
76,Difficult
76,Online Co Op
76,Western
76,Co op
76,Battle Royale
76,Team Based
76,Action
76,Gore
76,Zombies
76,First Person
77,Automation
77,Base Building
77,Resource Management
77,Sandbox
77,Crafting
77,Strategy
77,Multiplayer
77,Survival
77,Management
77,Open World
77,Building
77,Co op
77,2D
77,Moddable
77,Singleplayer
77,Trains
77,Simulation
77,Pixel Graphics
77,City Builder
77,Indie
78,FPS
78,Action
78,Sci fi
78,Classic
78,Singleplayer
78,Story Rich
78,Shooter
78,First Person
78,Adventure
78,Dystopian
78,Atmospheric
78,Zombies
78,Silent Protagonist
78,Physics
78,Aliens
78,Great Soundtrack
78,Horror
78,Puzzle
78,Multiplayer
78,Moddable
79,Action Adventure
79,Open World
79,FPS
79,Exploration
79,Shooter
79,Realistic
79,America
79,Hunting
79,First Person
79,3D
79,Story Rich
79,Action
79,Adventure
79,Stealth
79,Co op
79,Nature
79,Atmospheric
79,Survival
79,Psychedelic
79,Combat
80,Open World
80,RPG
80,Historical
80,Action
80,Singleplayer
80,Assassin
80,Third Person
80,Adventure
80,Multiple Endings
80,Mythology
80,Stealth
80,Story Rich
80,Female Protagonist
80,Parkour
80,Choices Matter
80,Action RPG
80,Exploration
80,Action Adventure
80,Multiplayer
80,Choose Your Own Adventure
81,Difficult
81,Cartoon
81,Co op
81,Platformer
81,Great Soundtrack
81,Local Co Op
81,2D
81,Hand drawn
81,Multiplayer
81,Indie
81,Retro
81,Cartoony
81,Bullet Hell
81,Action
81,Shoot Em Up
81,Singleplayer
81,Side Scroller
81,Colorful
81,Funny
81,Atmospheric
82,Survival
82,Open World
82,Multiplayer
82,Survival Horror
82,Co op
82,Base Building
82,Crafting
82,Horror
82,First Person
82,Exploration
82,Adventure
82,Building
82,Singleplayer
82,Atmospheric
82,Action Adventure
82,Sandbox
82,Action
82,Simulation
82,Early Access
82,Immersive Sim
83,Racing
83,Open World
83,Driving
83,Multiplayer
83,Automobile Sim
83,Adventure
83,Realistic
83,Simulation
83,Exploration
83,Arcade
83,First Person
83,Atmospheric
83,Sports
83,Co op
83,PvP
83,Online Co Op
83,Singleplayer
83,Beautiful
83,Action
83,Third Person
84,FPS
84,Gore
84,Action
84,Shooter
84,Demons
84,Great Soundtrack
84,First Person
84,Fast Paced
84,Singleplayer
84,Multiplayer
84,Sci fi
84,Horror
84,Atmospheric
84,Classic
84,Blood
84,Difficult
84,Remake
84,Zombies
84,Co op
84,Violent
85,Medieval
85,RPG
85,Open World
85,Strategy
85,Sandbox
85,Multiplayer
85,Action
85,Moddable
85,Military
85,Adventure
85,Horses
85,Singleplayer
85,Realistic
85,First Person
85,Historical
85,Third Person
85,Simulation
85,Hack and Slash
85,Fantasy
85,Indie
86,Base Building
86,Automation
86,Open World
86,Multiplayer
86,Crafting
86,Co op
86,Resource Management
86,Building
86,Sandbox
86,Exploration
86,Adventure
86,Early Access
86,Open World Survival Craft
86,Simulation
86,Survival
86,Strategy
86,First Person
86,Sci fi
86,Singleplayer
86,Indie
87,Turn Based Strategy
87,Strategy
87,Turn Based
87,Multiplayer
87,Historical
87,4X
87,Addictive
87,Singleplayer
87,Hex Grid
87,Grand Strategy
87,Replay Value
87,Co op
87,Tactical
87,Economy
87,Diplomacy
87,Moddable
87,Simulation
87,Classic
87,Great Soundtrack
87,Touch Friendly
88,Adventure
88,Action Roguelike
88,Pixel Graphics
88,Metroidvania
88,2D
88,Souls like
88,Roguelike
88,Replay Value
88,Hack and Slash
88,Roguelite
88,Platformer
88,Singleplayer
88,Roguevania
88,Action
88,Difficult
88,Atmospheric
88,Dark Fantasy
88,Procedural Generation
88,Funny
88,Indie
89,Puzzle
89,Puzzle Platformer
89,First Person
89,3D Platformer
89,Singleplayer
89,Sci fi
89,Comedy
89,Female Protagonist
89,Funny
89,Physics
89,Action
89,Story Rich
89,Classic
89,Platformer
89,Science
89,Atmospheric
89,FPS
89,Dark Humor
89,Short
89,Adventure
90,Roguelike Deckbuilder
90,Card Game
90,Card Battler
90,Roguelike
90,Deckbuilding
90,Turn Based
90,Strategy
90,Singleplayer
90,Roguelite
90,Replay Value
90,Indie
90,Difficult
90,Dungeon Crawler
90,RPG
90,Mouse only
90,Great Soundtrack
90,2D
90,Procedural Generation
90,Fantasy
90,Casual
91,Hunting
91,Open World
91,Multiplayer
91,Simulation
91,First Person
91,Shooter
91,Survival
91,Realistic
91,Co op
91,Adventure
91,FPS
91,Action
91,Singleplayer
91,Walking Simulator
91,Online Co Op
91,Atmospheric
91,Sports
91,Combat
91,Strategy
91,Gore
92,3D
92,Match 3
92,Anime
92,Female Protagonist
92,Drama
92,Visual Novel
92,Interactive Fiction
92,Singleplayer
92,Multiple Endings
92,RPG
92,FPS
92,Casual
92,Colorful
92,Story Rich
92,FMV
92,Adventure
92,Early Access
92,Indie
92,3D Platformer
92,Shooter
93,Strategy
93,RTS
93,City Builder
93,Multiplayer
93,Base Building
93,Historical
93,Medieval
93,Singleplayer
93,Resource Management
93,Classic
93,Tactical
93,Real Time
93,Remake
93,Co op
93,Isometric
93,Replay Value
93,2D
93,Action
93,Adventure
93,Great Soundtrack
94,RPG
94,MMORPG
94,Open World
94,Adventure
94,Fantasy
94,Exploration
94,Multiplayer
94,Singleplayer
94,Massively Multiplayer
94,Action
94,PvP
94,Character Customization
